timeInMsSinceStart;x;y;button;dx;dy;pace;Action;user
61157.083;-955;310;0;0;0;56.93461583626018;1;1
61161.27;-955;308;0;0;0;56.98246194981165;1;1
61165.129;-954;308;0;0;0;57.003647663142395;1;1
61169.186;-954;307;0;0;0;57.0245223368041;1;1
61172.97;-954;306;0;0;0;57.045815256380614;1;1
61177.089;-953;305;0;0;0;57.09373349443377;1;1
61181.03;-953;304;0;0;0;57.114771318590584;1;1
61185.02;-953;303;0;0;0;57.13572865126892;1;1
61188.987;-953;302;0;0;0;57.15671712334639;1;1
61192.999;-953;302;0;0;0;57.1504942662939;1;1
61256.907;-953;302;0;0;0;0;2;1
61577.365;-952;301;0;0;0;56.61425130566617;1;1
61585.338;-950;297;0;0;0;56.76323774285953;1;1
61589.32;-949;296;0;0;0;56.810865674091;1;1
71887.427;-949;296;0;0;0;44.505670823817425;1;1
71895.553;-955;302;0;0;0;44.24571352301047;1;1
71899.366;-960;308;0;0;0;44.01086187229903;1;1
71902.963;-965;313;0;0;0;43.79727274824143;1;1
71906.885;-969;317;0;0;0;43.62546676884207;1;1
71911.276;-970;318;0;0;0;43.57939497252291;1;1
71915.379;-971;319;0;0;0;43.53359522858344;1;1
71919.158;-971;320;0;0;0;43.50911843926108;1;1
71922.861;-972;320;0;0;0;43.48471499657513;1;1
71927.307;-973;321;0;0;0;43.438621448553825;1;1
71931.27;-974;323;0;0;0;43.371963379437474;1;1
71935.179;-974;323;0;0;0;43.36840101398852;1;1
71938.989;-975;324;0;0;0;43.322909152258696;1;1
71943.303;-976;325;0;0;0;43.276966345162926;1;1
71947.381;-977;325;0;0;0;43.25225261995951;1;1
71951.101;-978;326;0;0;0;43.20686339239581;1;1
71954.957;-978;326;0;0;0;43.20336415796402;1;1
72135.375;-978;326;0;0;0;43.040270104582;1;1
72143.365;-978;325;0;0;0;43.05399609179338;1;1
72147.35;-979;324;0;0;0;43.050407089920924;1;1
72151.337;-980;323;0;0;0;43.046816885555266;1;1
72155.323;-980;322;0;0;0;43.06414325706602;1;1
72158.962;-980;322;0;0;0;43.06086589608282;1;1
72167.305;-981;321;0;0;0;43.05335389495161;1;1
72171.464;-981;320;0;0;0;43.070518146696514;1;1
72175.248;-981;319;0;0;0;43.08801721614028;1;1
72385.216;-982;319;0;0;0;42.878886794160444;1;1
72393.368;-983;319;0;0;0;42.85080071268436;1;1
72397.166;-985;319;0;0;0;42.80579433549279;1;1
72401.159;-987;319;0;0;0;42.76062156673044;1;1
72405.158;-988;319;0;0;0;42.73625732836306;1;1
72409.169;-989;319;0;0;0;42.711886480834934;1;1
72413.271;-990;319;0;0;0;42.68743889034128;1;1
72417.162;-992;319;0;0;0;42.64238155995317;1;1
72421.158;-992;319;0;0;0;42.63883735829398;1;1
72425.364;-994;319;0;0;0;42.59351230927549;1;1
72429.166;-995;320;0;0;0;42.54855266086296;1;1
72433.161;-997;320;0;0;0;42.50342954225823;1;1
72437.158;-998;320;0;0;0;42.47910466772379;1;1
72441.146;-1000;320;0;0;0;42.434000990722694;1;1
72445.164;-1001;320;0;0;0;42.40966740842006;1;1
72449.16;-1002;320;0;0;0;42.38535727467848;1;1
72452.766;-1003;320;0;0;0;42.361394577018146;1;1
72456.649;-1003;320;0;0;0;42.35797581667185;1;1
72461.392;-1004;320;0;0;0;42.33301858238712;1;1
72625.166;-1004;320;0;0;0;0;2;1
72745.308;-1005;321;0;0;0;42.04338364821039;1;1
72809.178;-1005;321;0;0;0;41.98797786187478;1;1
72817.311;-1005;321;0;0;0;41.98093314723093;1;1
72821.213;-1004;321;0;0;0;41.998181907781444;1;1
72824.823;-1004;321;0;0;0;41.995054690411365;1;1
72829.297;-1003;321;0;0;0;42.0118040175948;1;1
72833.327;-1003;320;0;0;0;42.02893508639225;1;1
72841.351;-1002;320;0;0;0;42.04260068063651;1;1
72849.372;-1001;319;0;0;0;42.07688017065278;1;1
72857.302;-1001;319;0;0;0;42.070002422786914;1;1
72861.37;-1000;318;0;0;0;42.10769652432809;1;1
