timeInMsSinceStart;x;y;button;dx;dy;pace;Action;user
17255.976;-714;-5;0;0;0;707.3938675625209;1;1
17259.966;-716;-4;0;0;0;702.3189802700144;1;1
17263.958;-719;-2;0;0;0;697.2957339499823;1;1
17267.945;-724;2;0;0;0;687.0748478056958;1;1
17271.934;-729;5;0;0;0;673.0380939561179;1;1
17288.889;-735;9;0;0;0;645.6628080323011;1;1
17288.889;-760;21;0;0;0;598.3568201170632;1;1
17291.882;-770;28;0;0;0;574.4235067854572;1;1
17295.872;-780;33;0;0;0;552.5106922223982;1;1
17299.86;-791;41;0;0;0;525.7762765204958;1;1
17303.85;-801;50;0;0;0;499.3081195278402;1;1
17307.844;-811;59;0;0;0;473.10125989736576;1;1
17312.828;-821;69;0;0;0;445.36467178856714;1;1
17315.821;-830;79;0;0;0;420.2335015091327;1;1
17319.805;-839;88;0;0;0;396.03570716972223;1;1
17323.801;-847;97;0;0;0;373.29234053073606;1;1
17327.786;-854;104;0;0;0;354.4289613526276;1;1
17331.775;-862;112;0;0;0;333.322020585968;1;1
17335.77;-869;119;0;0;0;314.828418511911;1;1
17339.752;-876;127;0;0;0;295.31635464372965;1;1
17343.744;-883;133;0;0;0;278.37614710685943;1;1
17347.731;-889;138;0;0;0;263.97648468936393;1;1
17351.72;-895;142;0;0;0;250.8955907466866;1;1
17355.711;-901;146;0;0;0;237.93706211335225;1;1
17359.701;-908;149;0;0;0;225.1000640128307;1;1
17363.691;-916;153;0;0;0;210.0487313056629;1;1
17367.679;-924;156;0;0;0;196.29889468622375;1;1
17371.667;-932;159;0;0;0;182.67585441428108;1;1
17375.657;-942;163;0;0;0;165.72487369232718;1;1
17379.646;-953;168;0;0;0;146.63781262207885;1;1
17383.635;-964;173;0;0;0;127.72440722190291;1;1
17387.627;-977;179;0;0;0;105.5762419398783;1;1
17391.614;-989;184;0;0;0;85.88861376907491;1;1
17395.606;-1000;190;0;0;0;66.3772319344238;1;1
17399.593;-1012;196;0;0;0;45.92057308875214;1;1
17403.582;-1023;199;0;0;0;30.1058723176504;1;1
17407.572;-1034;203;0;0;0;13.321122304554159;1;1
17411.562;-1043;206;0;0;0;0.0;1;1
17415.55;-1050;208;0;0;0;-9.90313632327358;1;1
17420.54;-1057;209;0;0;0;-18.603775690993476;1;1
17424.526;-1064;210;0;0;0;-27.239673167505465;1;1
17428.517;-1068;212;0;0;0;-33.63094915217462;1;1
17432.504;-1071;213;0;0;0;-37.80689749037814;1;1
17435.497;-1075;213;0;0;0;-41.99192462987887;1;1
17439.486;-1078;213;0;0;0;-45.028673616091965;1;1
17444.473;-1080;213;0;0;0;-46.92202199789704;1;1
17448.462;-1083;213;0;0;0;-49.908942726833494;1;1
17452.453;-1086;213;0;0;0;-52.870553850773916;1;1
17456.441;-1090;213;0;0;0;-56.86042030380312;1;1
17460.431;-1091;213;0;0;0;-57.67109440863011;1;1
17464.421;-1092;213;0;0;0;-58.47501341792719;1;1
17552.185;-1089;213;0;0;0;-50.69645450041035;1;1
17556.174;-1084;213;0;0;0;-45.73924627439545;1;1
17560.163;-1078;213;0;0;0;-39.870288660889905;1;1
17564.152;-1078;213;0;0;0;-39.71988027293232;1;1
17568.142;-1077;213;0;0;0;-38.628408839310524;1;1
17600.057;-1076;213;0;0;0;-36.58614665556887;1;1
17604.046;-1073;213;0;0;0;-33.71915949982639;1;1
17608.036;-1069;213;0;0;0;-29.96488660106475;1;1
17612.025;-1065;213;0;0;0;-26.237742902690545;1;1
17616.014;-1059;213;0;0;0;-20.73441290509859;1;1
17620.003;-1055;213;0;0;0;-17.06705375942281;1;1
